date,AAPL,MSFT
03-08-2011,56.08,26.92
04-08-2011,53.91,25.94
05-08-2011,53.37,25.68
08-08-2011,50.46,24.48
09-08-2011,53.43,25.58
10-08-2011,51.96,24.2
11-08-2011,53.39,25.19
12-08-2011,53.86,25.1
15-08-2011,54.77,25.51
16-08-2011,54.35,25.35
17-08-2011,54.35,25.24
18-08-2011,52.29,24.67
19-08-2011,50.86,24.05
22-08-2011,50.92,23.98
23-08-2011,53.37,24.72
24-08-2011,53.74,24.9
25-08-2011,53.39,24.57
26-08-2011,54.8,25.25
29-08-2011,55.71,25.84
30-08-2011,55.71,26.23
31-08-2011,54.98,26.6
01-09-2011,54.43,26.21
02-09-2011,53.44,25.8
06-09-2011,54.25,25.51
07-09-2011,54.85,26
08-09-2011,54.88,26.22
09-09-2011,53.93,25.74
12-09-2011,54.28,25.89
13-09-2011,54.95,26.04
14-09-2011,55.61,26.5
15-09-2011,56.14,26.99
16-09-2011,57.21,27.12
19-09-2011,58.8,27.21
20-09-2011,59.06,26.98
21-09-2011,58.88,25.99
22-09-2011,57.4,25.06
23-09-2011,57.76,25.06
26-09-2011,57.6,25.44
27-09-2011,57.04,25.67
28-09-2011,56.72,25.58
29-09-2011,55.8,25.45
30-09-2011,54.47,24.89
03-10-2011,53.51,24.53
04-10-2011,53.21,25.34
05-10-2011,54.04,25.89
06-10-2011,53.91,26.34
07-10-2011,52.83,26.25
10-10-2011,55.54,26.94
11-10-2011,57.18,27
12-10-2011,57.46,26.96
13-10-2011,58.35,27.18
14-10-2011,60.29,27.27
17-10-2011,60,26.98
18-10-2011,60.32,27.31
19-10-2011,56.95,27.13
20-10-2011,56.47,27.04
21-10-2011,56.12,27.16
24-10-2011,57.97,27.19
25-10-2011,56.82,26.81
26-10-2011,57.23,26.59
27-10-2011,57.81,27.25
28-10-2011,57.85,26.98
31-10-2011,57.83,26.63
01-11-2011,56.64,25.99
02-11-2011,56.77,26.01
03-11-2011,57.58,26.53
04-11-2011,57.18,26.25
07-11-2011,57.1,26.8
08-11-2011,58.03,27.16
09-11-2011,56.47,26.2
10-11-2011,55.03,26.28
11-11-2011,54.95,26.91
14-11-2011,54.18,26.76
15-11-2011,55.55,26.74
16-11-2011,54.97,26.07
17-11-2011,53.92,25.54
18-11-2011,53.56,25.3
21-11-2011,52.72,25
22-11-2011,53.79,24.79
23-11-2011,52.43,24.47
25-11-2011,51.94,24.3
28-11-2011,53.73,24.87
29-11-2011,53.31,24.84
30-11-2011,54.6,25.58
01-12-2011,55.42,25.28
02-12-2011,55.67,25.22
05-12-2011,56.14,25.7
06-12-2011,55.85,25.66
07-12-2011,55.58,25.6
08-12-2011,55.81,25.4
09-12-2011,56.23,25.7
12-12-2011,55.98,25.51
13-12-2011,55.54,25.76
14-12-2011,54.31,25.59
15-12-2011,54.13,25.56
16-12-2011,54.43,26
19-12-2011,54.6,25.53
20-12-2011,56.56,26.02
21-12-2011,56.64,25.76
22-12-2011,56.94,25.81
23-12-2011,57.62,26.03
27-12-2011,58.08,26.04
28-12-2011,57.52,25.82
29-12-2011,57.87,26.02
30-12-2011,57.86,25.96
03-01-2012,58.75,26.76
04-01-2012,59.06,27.4
05-01-2012,59.72,27.68
06-01-2012,60.34,28.1
09-01-2012,60.25,27.74
10-01-2012,60.46,27.84
11-01-2012,60.36,27.72
12-01-2012,60.2,28
13-01-2012,59.97,28.25
17-01-2012,60.67,28.26
18-01-2012,61.3,28.23
19-01-2012,61.11,28.12
